Timestamp,X,Y
2024-09-07 21:59:55.176,861,473
2024-09-07 21:59:55.184,881,513
2024-09-07 21:59:55.192,898,548
2024-09-07 21:59:55.200,913,575
2024-09-07 21:59:55.208,926,596
2024-09-07 21:59:55.217,937,611
2024-09-07 21:59:55.224,944,621
2024-09-07 21:59:55.368,949,628
2024-09-07 21:59:55.385,952,633
2024-09-07 21:59:55.401,953,636
2024-09-07 21:59:55.416,954,639
2024-09-07 21:59:55.449,954,641
2024-09-07 21:59:55.456,954,644
2024-09-07 21:59:55.480,954,646
2024-09-07 21:59:55.704,954,649
2024-09-07 21:59:55.719,954,651
2024-09-07 21:59:55.728,954,656
2024-09-07 21:59:55.737,954,663
2024-09-07 21:59:55.744,954,673
2024-09-07 21:59:55.753,954,684
2024-09-07 21:59:55.760,954,695
2024-09-07 21:59:55.769,954,708
2024-09-07 21:59:55.777,953,721
2024-09-07 21:59:55.785,953,734
2024-09-07 21:59:55.793,950,748
2024-09-07 21:59:55.801,950,763
2024-09-07 21:59:55.809,950,776
2024-09-07 21:59:55.816,950,788
2024-09-07 21:59:55.824,950,800
2024-09-07 21:59:55.832,950,813
2024-09-07 21:59:55.840,950,825
2024-09-07 21:59:55.848,950,836
2024-09-07 21:59:55.857,950,846
2024-09-07 21:59:55.864,950,856
2024-09-07 21:59:55.872,950,866
2024-09-07 21:59:55.880,950,875
2024-09-07 21:59:55.888,950,883
2024-09-07 21:59:55.895,950,890
2024-09-07 21:59:55.904,950,896
2024-09-07 21:59:55.912,951,904
2024-09-07 21:59:55.920,953,910
2024-09-07 21:59:55.928,954,918
2024-09-07 21:59:55.937,956,923
2024-09-07 21:59:55.944,958,928
2024-09-07 21:59:55.960,959,931
2024-09-07 21:59:56.136,961,933
2024-09-07 21:59:56.144,962,933
2024-09-07 21:59:56.152,963,932
2024-09-07 21:59:56.160,964,930
2024-09-07 21:59:56.168,966,927
2024-09-07 21:59:56.176,967,925
2024-09-07 21:59:56.184,968,921
2024-09-07 21:59:56.192,971,918
2024-09-07 21:59:56.201,972,915
2024-09-07 21:59:56.209,973,911
2024-09-07 21:59:56.216,974,908
2024-09-07 21:59:56.224,976,905
2024-09-07 21:59:56.232,977,901
2024-09-07 21:59:56.241,978,898
2024-09-07 21:59:56.249,979,896
2024-09-07 21:59:56.281,981,893
2024-09-07 21:59:56.297,983,892
2024-09-07 21:59:56.305,986,892
2024-09-07 21:59:56.327,988,892
2024-09-07 21:59:56.520,991,890
2024-09-07 21:59:56.664,993,887
2024-09-07 21:59:56.672,996,885
2024-09-07 21:59:56.679,997,882
2024-09-07 21:59:56.688,997,878
2024-09-07 21:59:56.696,999,873
2024-09-07 21:59:56.704,1003,867
2024-09-07 21:59:56.712,1007,860
2024-09-07 21:59:56.721,1009,852
2024-09-07 21:59:56.727,1013,843
2024-09-07 21:59:56.736,1018,836
2024-09-07 21:59:56.744,1022,828
2024-09-07 21:59:56.752,1027,820
2024-09-07 21:59:56.760,1031,811
2024-09-07 21:59:56.769,1037,801
2024-09-07 21:59:56.776,1042,791
2024-09-07 21:59:56.785,1047,778
2024-09-07 21:59:56.793,1053,766
2024-09-07 21:59:56.801,1061,752
2024-09-07 21:59:56.808,1068,737
2024-09-07 21:59:56.816,1074,721
2024-09-07 21:59:56.825,1079,707
2024-09-07 21:59:56.832,1084,692
2024-09-07 21:59:56.840,1088,677
2024-09-07 21:59:56.848,1093,663
2024-09-07 21:59:56.856,1097,651
2024-09-07 21:59:56.864,1101,638
2024-09-07 21:59:56.872,1104,623
2024-09-07 21:59:56.879,1108,612
2024-09-07 21:59:56.889,1112,600
2024-09-07 21:59:56.895,1114,588
2024-09-07 21:59:56.904,1117,577
2024-09-07 21:59:56.911,1119,566
2024-09-07 21:59:56.920,1121,556
2024-09-07 21:59:56.927,1123,547
2024-09-07 21:59:56.936,1124,538
2024-09-07 21:59:56.943,1126,532
2024-09-07 21:59:56.951,1127,526
2024-09-07 21:59:56.960,1128,521
2024-09-07 21:59:56.969,1129,517
2024-09-07 21:59:56.976,1129,512
2024-09-07 21:59:56.992,1129,508
2024-09-07 21:59:57.089,1131,506
2024-09-07 21:59:57.096,1132,503
2024-09-07 21:59:57.105,1132,501
2024-09-07 21:59:57.112,1132,497
2024-09-07 21:59:57.121,1132,492
2024-09-07 21:59:57.128,1132,486
2024-09-07 21:59:57.137,1132,481
2024-09-07 21:59:57.144,1132,476
2024-09-07 21:59:57.153,1132,471
2024-09-07 21:59:57.160,1132,467
2024-09-07 21:59:57.168,1132,463
2024-09-07 21:59:57.177,1132,461
2024-09-07 21:59:57.193,1132,458
2024-09-07 21:59:57.264,1132,456
2024-09-07 21:59:57.512,1132,458
2024-09-07 21:59:57.528,1132,460
2024-09-07 21:59:58.920,1136,460
2024-09-07 21:59:58.928,1143,460
2024-09-07 21:59:58.936,1152,460
2024-09-07 21:59:58.944,1158,460
2024-09-07 21:59:59.008,1163,460
2024-09-07 21:59:59.016,1167,463
2024-09-07 21:59:59.024,1171,469
2024-09-07 21:59:59.032,1177,476
2024-09-07 21:59:59.040,1179,484
2024-09-07 21:59:59.048,1182,490
2024-09-07 21:59:59.169,1183,495
2024-09-07 21:59:59.176,1184,499
2024-09-07 21:59:59.183,1186,504
2024-09-07 21:59:59.192,1188,510
2024-09-07 21:59:59.201,1191,518
2024-09-07 21:59:59.209,1192,526
2024-09-07 21:59:59.216,1193,535
2024-09-07 21:59:59.225,1194,543
2024-09-07 21:59:59.233,1194,549
2024-09-07 21:59:59.240,1194,554
2024-09-07 21:59:59.248,1194,558
2024-09-07 21:59:59.264,1194,561
2024-09-07 21:59:59.272,1196,564
2024-09-07 21:59:59.280,1197,566
2024-09-07 21:59:59.289,1197,569
2024-09-07 21:59:59.296,1197,571
2024-09-07 21:59:59.304,1197,575
2024-09-07 21:59:59.311,1197,580
2024-09-07 21:59:59.321,1197,584
2024-09-07 21:59:59.536,1197,586
2024-09-07 21:59:59.543,1197,589
2024-09-07 21:59:59.552,1197,591
2024-09-07 21:59:59.560,1197,596
2024-09-07 21:59:59.568,1197,603
2024-09-07 21:59:59.576,1197,611
2024-09-07 21:59:59.584,1197,618
2024-09-07 21:59:59.592,1197,624
2024-09-07 21:59:59.721,1195,628
2024-09-07 21:59:59.768,1195,631
2024-09-07 21:59:59.952,1193,634
2024-09-07 21:59:59.959,1193,636
2024-09-07 21:59:59.968,1193,639
2024-09-07 21:59:59.977,1193,643
2024-09-07 21:59:59.984,1193,649
2024-09-07 21:59:59.993,1193,654
2024-09-07 22:00:00.000,1193,659
2024-09-07 22:00:00.008,1190,664
2024-09-07 22:00:00.016,1190,668
2024-09-07 22:00:00.169,1190,671
2024-09-07 22:00:00.176,1190,674
2024-09-07 22:00:00.185,1188,675
2024-09-07 22:00:00.192,1183,680
2024-09-07 22:00:00.200,1175,689
2024-09-07 22:00:00.208,1164,699
2024-09-07 22:00:00.217,1150,710
2024-09-07 22:00:00.225,1131,723
2024-09-07 22:00:00.233,1110,734
2024-09-07 22:00:00.241,1086,744
2024-09-07 22:00:00.248,1059,755
2024-09-07 22:00:00.257,1024,765
2024-09-07 22:00:00.263,986,774
2024-09-07 22:00:00.273,946,781
2024-09-07 22:00:00.280,909,788
2024-09-07 22:00:00.288,876,791
2024-09-07 22:00:00.296,850,793
2024-09-07 22:00:00.305,829,793
2024-09-07 22:00:00.312,815,790
2024-09-07 22:00:00.321,803,783
2024-09-07 22:00:00.328,796,778
2024-09-07 22:00:00.337,791,771
2024-09-07 22:00:00.344,788,761
2024-09-07 22:00:00.352,783,747
2024-09-07 22:00:00.360,779,733
2024-09-07 22:00:00.369,774,720
2024-09-07 22:00:00.376,766,705
2024-09-07 22:00:00.385,759,691
2024-09-07 22:00:00.392,750,678
2024-09-07 22:00:00.400,740,666
2024-09-07 22:00:00.407,730,653
2024-09-07 22:00:00.416,720,641
2024-09-07 22:00:00.424,714,633
2024-09-07 22:00:00.433,710,628
